#=======Menu Item=======#
0x5ac	Ceds
0x5ad	Bộ Bài
0x5ae	Danh sách cấm
0x5af	Tài liệu văn bản
0x5b0	Markdown
0x5b1	Nhật ký
0x5b2	YAML
0x5b3	Zip
0x5b4	Excel
0x5b5	Video
0x5b6	Tất cả
0x5b7	Không xác định
0x5b8	Thư mục

0x5ba	Đường dẫn
0x5bb	Định dạng
0x5bc	Xử lý
0x5bd	Thao tác
0x5be	Quyền
0x5bf	Mã hóa

#=======Card Element=======#
0x5d1	ID
0x5d2	Định Danh
0x5d3	Bí Danh
0x5d4	Tên Thẻ
0x5d5	Mô Tả
0x5d6	Chuỗi
0x5d7	Phạm vi
0x5d8	Loại thẻ
0x5d9	Chủng tộc
0x5da	Nhân vật
0x5db	Thuộc tính
0x5dc	Nguyên mẫu
0x5dd	Danh mục
0x5de	Cờ

0x5e1	Cấp độ
0x5e2	Cấp độ âm
0x5e3	Xếp hạng
0x5e4	Hạng liên kết
0x5e5	Dấu Liên Kết
0x5e6	Giới hạn giao động
0x5e7	Cực đại
0x5e8	Hỗ trợ

0x5e9	Công
0x5ea	Thủ
0x5eb	Rộng
0x5ec	Cao
0x5ed	Độ hiếm

0x5ee	Trái
0x5ef	Phải

--0x2ae	Sort cards in the list in order:
--0x2af	Right click to sort by default.

#=======Script Support=======#
0x5f8	Văn bản Thẻ
0x5f9	Dữ liệu Thẻ
0x5fa	Thông tin Thẻ

0x5fb	Tìm kiếm Thẻ
0x5fc	Tìm kiếm Tập Lệnh
0x5fd	Tìm tên Scrapi
0x5fe	Tìm mô tả Scrapi

0x5ff	: 

#=======Message=======#
0x621	Lỗi
0x622	Cảnh Báo
0x623	Thông Tin
0x624	Thông Báo
0x625	Câu Hỏi

0x626	Xác nhận đặt lại?
0x627	Xác nhận làm trống?
0x628	Xác nhận xóa?

0x62a	Lỗi nguồn dữ liệu.
0x62b	Nguồn dữ liệu bị thiếu hoặc không tồn tại, hãy kiểm tra Cập nhật và khởi động lại ứng dụng.
0x62c	Đã xảy ra lỗi:

0x631	{0} {1}:
0x632	{0} {1} {2}:
0x633	{0} {1} {2} {3}:

0x635	{0} {1} thành công!
0x636	{0} {1} {2} thành công!
0x637	{0} {1} {2} {3} thành công!

0x638	Lỗi {0}:
0x639	Lỗi {0} {1}:
0x63a	Lỗi {0} {1} {2}:
0x63b	Lỗi {0} {1} {2} {3}:

0x63c	{0} không hợp lệ:
0x63d	{0} {1} không hợp lệ:
0x63e	{0} {1} {2} không hợp lệ:

0x63f	Quá trình này đã bị hủy bỏ theo yêu cầu.
0x640	Đã xảy ra lỗi nghiêm trọng; mọi thay đổi đã được hoàn tác.

0x651	Lỗi khi tải dữ liệu:
0x652	Lỗi kết nối Cơ Sở Dữ Liệu:
0x653	Lỗi khi nhân bản kho lưu trữ:
0x654	Bạn có thể cần xóa thư mục "data\CardData" và thử lại.
0x655	Lỗi khi tải Cơ sở dữ liệu thẻ:
0x656	Lỗi khi tải bộ nhớ đệm Hình ảnh:

0x65a	ngoài phạm vi cho phép.
0x65b	Không được bỏ trống.

0x65c	Mã màu nền không hợp lệ.
0x65d	Mã màu chữ không hợp lệ.

0x661	Không tìm thấy Thẻ nào.
0x662	Không có Thẻ nào được chọn.
0x663	Không có Thẻ để sao chép.
0x664	Không có Thẻ để trích xuất.
0x665	Không có Thẻ để lọc.
0x666	Không có Thẻ để lưu.
0x667	Không có Thẻ để thay thế.
0x668	Không có Độ hiếm nào được chọn.
0x669	Không tìm thấy tệp nào.
0x66a	Không tìm thấy bộ bài nào.
0x66b	Không có cửa sổ nào được chọn.
0x66c	Không có Cơ Sở Dữ Liệu Thẻ nào được chọn.
0x66d	Không tìm thấy Thẻ hợp lệ.
0x66e	Không tìm thấy dữ liệu hợp lệ.
0x66f	Không có dữ liệu hợp lệ trong bảng nhớ tạm.
0x670	Không dành cho người dùng thông thường.
0x671	Không tìm thấy mã định danh Konami.
0x672	Không thể tìm kiếm Thẻ này trên Yugipedia.

0x681	Thư mục không tồn tại.
0x682	Tập tin không tồn tại.
0x683	Tập tin đã tồn tại.
0x684	Thẻ không tồn tại trong Cơ Sở Dữ Liệu.
0x685	ID Thẻ đã tồn tại.
0x686	ID Thẻ không tồn tại.
0x687	ID Thẻ không tồn tại trong danh sách.
0x688	Không phải là thư mục.
0x689	Không phải là tệp Cơ sở dữ liệu.
0x68a	Không phải là tệp hình ảnh.
0x68b	Giá trị Chiều rộng hoặc Chiều cao không phải là số hợp lệ.

0x691	Không tìm thấy tập lệnh thẻ cho ID {0}.
0x692	Tệp lệnh thẻ cho ID {0} trống.
0x693	Không tìm thấy mô tả thẻ cho ID {0}.

0x6a1	Tệp Zip đã được xuất thành công tại:
0x6a2	Tệp Excel đã được xuất thành công tại:
0x6a3	Khóa đăng ký đã được tạo thành công tại:
0x6a4	Nhấp đúp vào tệp này để thiết lập Khóa đăng ký.

0x6aa	Trích xuất dữ liệu hàm thành công!
0x6ab	Trích xuất dữ liệu hằng số thành công!
0x6ac	Kho lưu trữ đã được nhân bản thành công!
0x6ad	Dữ liệu đã được cập nhật thành công!
